Stock #,Availability,Shape,Carat,Color,Clarity,Cut,Pol,Sym,floInt,FlrColor,Measurement,Lab,Report #,Treatment,Price Per Carat, Discount,Total Amount,FancyColor,FancyColorIntensity,FancyColorOvertone,Country,State,City,Depth,Table,GirdleThick,GirdleThin,Girdle Percent,Girdle Condition,CuletSize,Culet Condition,CrownHeight,Crown Angle,PavilionDepth,Pavilion Angle,Laser Inscription,Eye Clean,Cert comment,Member Comments,Report Issue Date,Report Issue Location,Seller Spec,Star Length,Shade,Black Inclusion,Open Inclusion,Center Inclusion,Milky,ReportType,KeyToSymbols,Brand,IsMatchedPairSeparable,PairStock,AllowRapLinkFeed,ParcelStones,CertFilename,DiamondImage,Sarine Loupe,DisplayCert,TradeShow,Video Link,Certificate Url
B206-IZ,G,ROUND,1,D,VVS2,EX,EX,EX,NONE,,6.39 - 6.44 * 3.95,IGI,464114171,HPHT,169.56,-98.43,169.56,,,,INDIA,,INDIA,61.6,56,MED,STK,4.53,,POINTED,,14,32.2,43,40.9,,100%,As Grown - No indication of post-growth treatment<br/>This Laboratory Grown Diamond was created by High Pressure High Temperature (HPHT) growth process<br/>Type II, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1685&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1685&UrlType=Video, https://api.igi.org/viewpdf.php?r=464114171
B200-IZ,G,ROUND,1.14,E,VS1,ID,EX,EX,NONE,,6.66 - 6.70 * 4.18,IGI,464114177,HPHT,155.73,-98.21,177.53,,,,INDIA,,INDIA,62.5,54.5,MED,,3.59,,POINTED,,16.5,35.7,42.5,40.5,,100%,As Grown - No indication of post-growth treatment<br/>This Laboratory Grown Diamond was created by High Pressure High Temperature (HPHT) growth process<br/>Type II, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1688&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1688&UrlType=Video, https://api.igi.org/viewpdf.php?r=464114177
B199-IZ,G,ROUND,1.06,E,VVS1,EX,EX,EX,NONE,,6.52 - 6.57 * 3.95,IGI,464114178,HPHT,175.38,-98.42,185.9,,,,INDIA,,INDIA,60.3,62.5,STK,,4.43,,POINTED,,13,34.8,43,40.6,,100%,As Grown - No indication of post-growth treatment<br/>This Laboratory Grown Diamond was created by High Pressure High Temperature (HPHT) growth process<br/>Type II, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1689&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1689&UrlType=Video, https://api.igi.org/viewpdf.php?r=464114178
B198-IZ,G,ROUND,1.13,D,VVS2,ID,EX,EX,NONE,,6.68 - 6.71 * 4.10,IGI,464114179,HPHT,169.56,-98.43,191.6,,,,INDIA,,INDIA,61.3,57.5,MED,STK,4.19,,POINTED,,13.5,32.8,43.5,41,,100%,As Grown - No indication of post-growth treatment<br/>This Laboratory Grown Diamond was created by High Pressure High Temperature (HPHT) growth process<br/>Type II, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1690&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1690&UrlType=Video, https://api.igi.org/viewpdf.php?r=464114179
B197-IZ,G,ROUND,1.08,D,VS1,EX,EX,EX,NONE,,6.48 - 6.54 * 4.06,IGI,464114180,HPHT,163.2,-98.3,176.26,,,,INDIA,,INDIA,62.4,58.5,STK,,4.45,,POINTED,,15,35.9,43,40.6,,100%,As Grown - No indication of post-growth treatment<br/>This Laboratory Grown Diamond was created by High Pressure High Temperature (HPHT) growth process<br/>Type II, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1691&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1691&UrlType=Video, https://api.igi.org/viewpdf.php?r=464114180
B195-IZ,G,ROUND,1.05,E,VS1,EX,EX,EX,NONE,,6.63 - 6.66 * 3.89,IGI,464114222,HPHT,155.73,-98.21,163.52,,,,INDIA,,INDIA,58.4,61.5,MED,,3.31,,POINTED,,12.5,32.8,42.5,40.4,,100%,As Grown - No indication of post-growth treatment<br/>This Laboratory Grown Diamond was created by High Pressure High Temperature (HPHT) growth process<br/>Type II, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1692&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1692&UrlType=Video, https://api.igi.org/viewpdf.php?r=464114222
B216-IZ,G,ROUND,1,D,VVS2,EX,EX,EX,NONE,,6.33 - 6.37 * 3.97,IGI,464114893,HPHT,169.56,-98.43,169.56,,,,INDIA,,INDIA,62.5,56.5,MED,,4.09,,POINTED,,16,36.4,42.5,40.3,,100%,As Grown - No indication of post-growth treatment<br/>This Laboratory Grown Diamond was created by High Pressure High Temperature (HPHT) growth process<br/>Type II, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1701&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1701&UrlType=Video, https://api.igi.org/viewpdf.php?r=464114893
B224-IZ,G,ROUND,1.12,D,VVS1,ID,EX,EX,NONE,,6.61 - 6.65 * 4.11,IGI,464115988,HPHT,181.76,-98.58,203.57,,,,INDIA,,INDIA,61.9,56,MED,STK,4.22,,POINTED,,15,34.4,42.5,40.4,,100%,As Grown - No indication of post-growth treatment.This Laboratory Grown Diamond was created by High Pressure High Temperature (HPHT) growth process.Type II, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1704&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1704&UrlType=Video, https://api.igi.org/viewpdf.php?r=464115988
B220-IZ,G,ROUND,1.12,E,VVS2,EX,EX,EX,NONE,,6.57 - 6.62 * 4.13,IGI,464115992,HPHT,164.64,-98.32,184.4,,,,INDIA,,INDIA,62.6,59,MED,STK,4.24,,POINTED,,15,35.7,43.5,41,,100%,As Grown - No indication of post-growth treatment.This Laboratory Grown Diamond was created by High Pressure High Temperature (HPHT) growth process.Type II, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1708&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1708&UrlType=Video, https://api.igi.org/viewpdf.php?r=464115992
B218-IZ,G,ROUND,1.08,D,VS1,ID,EX,EX,NONE,,6.63 - 6.65 * 3.99,IGI,464115994,HPHT,163.2,-98.3,176.26,,,,INDIA,,INDIA,60,59,MED,STK,4.07,,POINTED,,13,32.9,42.5,40.5,,100%,As Grown - No indication of post-growth treatment.This Laboratory Grown Diamond was created by High Pressure High Temperature (HPHT) growth process.Type II, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1710&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1710&UrlType=Video, https://api.igi.org/viewpdf.php?r=464115994
B245-IZ,G,ROUND,1,D,VVS2,EX,EX,EX,NONE,,6.28 - 6.34 * 4.01,IGI,468169504,HPHT,169.56,-98.43,169.56,,,,INDIA,,INDIA,63.4,55.5,MED,STK,4.43,,POINTED,,16.5,36.1,42.5,40.5,,100%,As Grown - No indication of post-growth treatment.This Laboratory Grown Diamond was created by High Pressure High Temperature (HPHT) growth process.Type II, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1728&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1728&UrlType=Video, https://api.igi.org/viewpdf.php?r=468169504
B178-IZ,G,ROUND,1.13,D,VS1,ID,EX,EX,NONE,,6.74 - 6.78 * 4.07,IGI,468169576,HPHT,163.2,-98.3,184.42,,,,INDIA,,INDIA,60.1,56.5,MED,,3.25,,POINTED,,14.5,33.4,42.5,40.4,,100%,As Grown - No indication of post-growth treatment.This Laboratory Grown Diamond was created by High Pressure High Temperature (HPHT) growth process.Type II, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1730&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1730&UrlType=Video, https://api.igi.org/viewpdf.php?r=468169576
B250-IZ,G,ROUND,1.14,D,VVS2,ID,EX,EX,NONE,,6.67 - 6.71 * 4.14,IGI,468169588,HPHT,169.56,-98.43,193.3,,,,INDIA,,INDIA,61.9,56,MED,,3.88,,POINTED,,14.5,33.6,43,41,,100%,As Grown - No indication of post-growth treatment.This Laboratory Grown Diamond was created by High Pressure High Temperature (HPHT) growth process.Type II, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1733&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1733&UrlType=Video, https://api.igi.org/viewpdf.php?r=468169588
B255-IZ,G,ROUND,1.09,E,VVS2,EX,EX,EX,NONE,,6.71 - 6.74 * 3.92,IGI,468169956,HPHT,164.64,-98.32,179.46,,,,INDIA,,INDIA,58.2,62.5,MED,,3.71,,POINTED,,12,32.3,42.5,40.4,,100%,As Grown - No indication of post-growth treatment.This Laboratory Grown Diamond was created by High Pressure High Temperature (HPHT) growth process.Type II, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1735&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1735&UrlType=Video, https://api.igi.org/viewpdf.php?r=468169956
B257-IZ,G,HEART,1.7,E,VS2,,EX,EX,NONE,,7.08 - 8.35 * 4.64,IGI,468171389,HPHT,153.45,-98.35,260.87,,,,INDIA,,INDIA,55.6,61.5,STK,THK,4.4,,POINTED,,14.5,39.2,37,34.7,,100%,As Grown - No indication of post-growth treatment.This Laboratory Grown Diamond was created by High Pressure High Temperature (HPHT) growth process.Type II, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1738&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1738&UrlType=Video, https://api.igi.org/viewpdf.php?r=468171389
B338-IZ,G,ROUND,1.09,E,VVS2,ID,EX,EX,NONE,,6.54 - 6.58 * 4.08,IGI,476154362,HPHT,164.64,-98.32,179.46,,,,INDIA,,INDIA,62.2,59,MED,STK,3.96,,POINTED,,14.5,35.6,43.5,41.1,,100%,As Grown - No indication of post-growth treatment.This Laboratory Grown Diamond was created by High Pressure High Temperature (HPHT) growth process.Type II, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1801&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1801&UrlType=Video, https://api.igi.org/viewpdf.php?r=476154362
B340-IZ,G,ROUND,1.1,E,VVS2,ID,EX,EX,NONE,,6.56 - 6.61 * 4.12,IGI,476154404,HPHT,164.64,-98.32,181.1,,,,INDIA,,INDIA,62.4,58.5,MED,,3.79,,POINTED,,15,35.8,43.5,41.2,,100%,As Grown - No indication of post-growth treatment.This Laboratory Grown Diamond was created by High Pressure High Temperature (HPHT) growth process.Type II, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1802&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1802&UrlType=Video, https://api.igi.org/viewpdf.php?r=476154404
B355-IZ,G,ROUND,1.62,E,VS1,EX,EX,EX,NONE,,7.46 - 7.49 * 4.65,IGI,476156215,HPHT,159.82,-98.69,258.91,,,,INDIA,,INDIA,62.2,59,MED,STK,4.42,,POINTED,,14.5,35.4,43,40.8,,100%,As Grown - No indication of post-growth treatment.This Laboratory Grown Diamond was created by High Pressure High Temperature (HPHT) growth process.Type II, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1814&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1814&UrlType=Video, https://api.igi.org/viewpdf.php?r=476156215
B361-IZ,G,ROUND,1.13,E,VVS2,ID,EX,EX,NONE,,6.62 - 6.66 * 4.15,IGI,476156690,HPHT,164.64,-98.32,186.04,,,,INDIA,,INDIA,62.5,58,MED,,3.92,,POINTED,,15.5,36,43,40.8,,100%,As Grown - No indication of post-growth treatment.This Laboratory Grown Diamond was created by High Pressure High Temperature (HPHT) growth process.Type II, [Skype:+918591592669],,,,0,NO,,,,,,,,Y,,,,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1822&UrlType=Image,,Y,,https://vaishali.diamx.net/PartySearch/DNADetails?StockId=1822&UrlType=Video, https://api.igi.org/viewpdf.php?r=476156690
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
